,tx_id,time,inputs,outputs
23,0057bd900193acdfe6aef3dac55aa206156053b88dd4b6bc5a06f7e088d4c4a6,2020-10-26 23:48:38,"[('35bJ5wUhK1hHkmPA2Em4kCvkEm6xmdg2Cz', 762440), ('3Gxu7KCTFZri2Qyj8ZFYvVC3ZQsvoQ8PFA', 745108), ('3QrmJ32oERd3oEE5JE37NVyMRq4x4CmQS3', 783498), ('3CiuBCwZY4aZW9pQhYYxMZjxhtwJPAbaUq', 732112), ('374hcWjdi7LqZogk79HBiQULuSjfG4jGrn', 732191), ('3PAAymjX6VTi4bCGM5GiYesjRdibTmCGyB', 922537), ('34tB3u2xKu3acutfRUSNvhypSiZHRkLPgC', 845727), ('3EaDcpyX7NK6eVnEkmYe2UCrPxauV5rkVy', 755867), ('3EJNGD5nB4k5PbJRAk7rvv9opb5CmN683c', 900000), ('3EosM7DsBF2e8yicEr4MhPUKxCgw1GjxUk', 770374), ('3NUmAb6ZGxWKerfa9aYHFogpqFV9dNm72B', 772429), ('3Fdaz3pURTqf5YKMpHQgEnYFGr6wjT97SZ', 798189), ('33b33NoQ89NywNb3pGDCQQ2WFXUBNWJBm4', 29995000), ('336giBe2xom465qYmpjcgqKQ86r6Cu3m58', 800000), ('3Hd6LqkxCHKfXYxYDtL9jRmpuq17JoMBBQ', 783870), ('3DW37DQCp7RkP6Zpf9pkWEhKb5zr1i1pQC', 730959), ('35rVRV3QncRVkQSG9yBcU6FQopKipc2aun', 761040), ('33NP7QScWvd7C9kxyDKT3MGKjprn6Mu699', 730000)]","[('19jnZqzTMMV7HDNTLGhcSTfQXc8rHEEfQi', 6917772), ('148CmvA4u5sE2ESsy7pxYTJ9nGCA4LnntX', 954128), ('1K2L4UvMAJudvBhSTAMxyJrDV8ExPaHnj', 2054128), ('36mdVMVf7D5sUR8C1DuqqGTtVbenbpxsWL', 1230000), ('3Pitf1dTiCjxD4Z1FbbsjZs9cV1w4J69N4', 3444128), ('1NuyXsbRH9qWo5F1e4hZryHR8QHJhc9Dor', 1713128), ('1GQRmQp35Whdw3nNCBnSdgiLmQLTL3h4qy', 6470000), ('13wpUwiGQFW1Y4XdkQEaQgWE46i7BM7VxB', 1353123), ('33t6MHRALRqv2cNEBNSnfQWhsieWZLnbMd', 2344000), ('1PdndaJ22MnEVbnPYP3pmc4Kk9z65YNqDq', 3270411), ('1PuKk8zD56K8QcHhLzMyS3J8UVk13fEDKW', 2254128), ('19G4ueJZShA3NYDSf2e9FGq8jVGrFw26je', 126582), ('1KzBTyFmwjo9vsf18NY8HUcfXw24FSS37e', 2200000), ('1BbuVMFKiZBcH4qqD8BRniZhqMapJ59sKA', 4935950), ('36iQgyRwdKmj54xSFVjcCeYyZZYjwzqABx', 2704128), ('3BCRpp5w3iXXYEqZZQy1zWwoYGMWSzATj6', 1082189)]"
24,b788aeb5d2ac50d7a2619ba83e53fd140faa9adf046057dfe65d2fd38cc0a8fd,2020-11-18 17:34:34,"[('bc1qvc9yq3uk5qdgmmge6rtefals2xtdznlvf6jpe6', 22031547)]","[('bc1qcnavjzdexg25ry008l9tvpk89hxsmr9ur4c2qr', 20915233), ('33t6MHRALRqv2cNEBNSnfQWhsieWZLnbMd', 1102000)]"
25,7a139f5384134ceff3de88529beb9fde84fa4f3187a134116ad91a05325da2a9,2020-11-15 15:06:12,"[('3HxtgLKh8Wz5ZArqBLXAhWC4Ho3JeCwmvx', 29995000), ('32N2cNMxcjfrMPrAphXg3gVojh96kwRThc', 48139), ('34dfimkxh5pk52HgAw2FEy9rhiXGzmcnXP', 37591), ('3DDJjH5pYMSkPwFvvnKM6FWP1nw7UUDFWj', 40262), ('34YyymWdCbYUEM2RhwB7WSfWef7ZgaML4j', 48524), ('3MfjKKLFhbTJi7vu5yCqxmXT91xxEfXzVC', 49698), ('39JzMqTT79sgmN9fQwT3jDv5rngFq4WkAD', 49754), ('3GuJy87CxfAH7RQgPuNdHaNBpTheRobLxz', 44973), ('37YCow3yfs5P1iqnMUNSYxkg4wfwbwjDYN', 39854), ('3LWmYtkATKZhr1kJAQdSS353DV3FaocvLH', 40000), ('3H1ooCkE9yL8JsmiewiYcTwJkFJTvxsqDm', 50219), ('3CbiXSAePEUCKWcgmrTh4stTCya622HaqS', 40565), ('31svzofAVino92nZ4suBfqrk7qQLYPpxKj', 34200), ('37MtXpqsPbra4ciA8jDntwjz8MiofnEunh', 49891)]","[('3Q48rR1aR4Sz6VN5GL33qn27niHMMXgGTR', 370000), ('32FYY8JUVKXmTNzthV4ZDLsxUmZivCgC3H', 1748480), ('1B5nLLCFh6fS5DQCLUmEXBwcRTauJ2QFN1', 2900000), ('33t6MHRALRqv2cNEBNSnfQWhsieWZLnbMd', 4400000), ('1N7djPeqS1SusMVW6WiM9WUwR7yYF1VVyz', 9980560), ('1L9GjYXnT8FJUuiBGzBqSRrVfZFbLrqjJU', 805000), ('39uxTYGLffs4JC6HZDwS4raajizNeMZc6r', 492480), ('12LAyotbDhZyyDq7EPH3BWGwMSpi4Jme3k', 8443506), ('1N2DFCrtLJSjsN1ubEqV9vzisLU9xGsjXa', 392480), ('37bVPo2TTMeVPvasWQMAnHTdybbJXVEYT7', 1003664)]"
26,965f55e83c4343b784af1cb5df603d3067a89520f41fc970f4fbf60549330bc7,2020-11-12 17:32:59,"[('34KmSeLJrm8kYWT2ks6pR1jyW8cBWPAYy7', 22411900)]","[('bc1qfc4ga3xxsayjkpsvqnjjp0rtklpvgnjq4lh8v5', 16310910), ('33t6MHRALRqv2cNEBNSnfQWhsieWZLnbMd', 6100000)]"
27,e5a47b7e24197a7d0710ff7d0e31d526b1372739f02ff7c9da98568787d18e7e,2020-11-09 16:19:56,"[('1744z65bLMSVpJt9a41idyyprEG9HxViaB', 110000), ('1EQFxyzpYwbxVv3UC8mWJqCAK7aPAKSWr9', 70415), ('18Fg47wo2oMo5AeFYdwDvjSFhPEB6tz4A4', 6210000), ('17QrjREL1EW1SNUjnGyMrhLGU8RnXtvhit', 671498), ('1EnABfMCDowpRBujwq5HKvF9SrvdM4Aysb', 1170000)]","[('33t6MHRALRqv2cNEBNSnfQWhsieWZLnbMd', 8050000)]"
28,b04f0bd3ab2c2d9e63a0b978df8fd565cb11eb787cac1d95f9bb1548808594d1,2020-11-06 09:59:01,"[('14hDEhJ9tuVNbkr2JwbzXjBLN7SR3CkMnq', 8080940)]","[('1Bh4qBR4hx5tihxuTTHn5HNs8tNDwXCG5U', 2920146), ('33t6MHRALRqv2cNEBNSnfQWhsieWZLnbMd', 5100000)]"
29,c539684750ed39f6ae2f155b550bba23db29029a984d691a66e5f624ad492e35,2020-11-02 14:47:42,"[('3HS49piBa2kF6dWAwrhyhqshMjxZ3jbQQw', 910200), ('3Jo7i8yQWfQZoEpqUfxK5PFBoUBohwA1WG', 1000002), ('3Jo7i8yQWfQZoEpqUfxK5PFBoUBohwA1WG', 1000350), ('3HUoJU6o6h2eMSPfE31GvmpBpf487TiKdm', 637969), ('3ASjEZnfF5BtoMqFUgJBULcYekRPcHuV5Q', 893599), ('3FnYKbCFrKt1bGeic3qrMpAgdV3UMUaGHu', 1000093), ('3HQGre52CEdwVX78rrpBxYRpyi3ZzNHBqW', 869580), ('3CNQHdMc92Auqr1rUtpYc9aE6L9ZfJDnJa', 772165), ('39kfKXt6rW6XHQnLJhKyvUzCRkprffeZSr', 924608), ('3D1WtUdh8ADj7cGYe3p7ZwQx2TTaYsaon4', 967600), ('33Vb7bQr5JTogw2FShgz6bcjb5ZYV1Cbgi', 884000), ('3HUV4V3ij2UHjdZHPwxq6QEgQq2TJc2fcG', 915217), ('3C3EBx9qNJ7skJiMFq27WqD199sYK57eyv', 856000), ('32ux1rmkjvt3SSGJcR8iXaHcFKfPEVeb8w', 30000000), ('3LXEtjEazptRCExeip531HrzLenqrt9r1a', 919000), ('3PHfAsLF5tV542CFJ1XkCgPHE3pmurYzB5', 629589), ('3KeRBa9YJqd7UgfYfxysQcNakMo5UaPgKD', 647966), ('3AdKrxqQormX83MtAeb1xsJgiNP9VV498A', 765506), ('34DaU8njjRmoeJtLxHHdrmTFakAiuSVwFF', 805441), ('3MyqqAXnU9WkhawqaXJY6XBNbZNuGgSMkP', 700148)]","[('32iWrypxG94acEpF1FgEdFcTahMgBVgCsH', 500445), ('1BT2Dxeg3TQcgxWW9XTcYFJdzgTKWcWtk8', 249240), ('15Rwgko19t2cgRUYDCkK7uc87DVLbVTNKb', 2218438), ('3GWSHt27uj7o5zxWmqG6mod2sqMe8oPncL', 3282361), ('3PDRnM2N2SK4nBdXN4Q79V9JP4ZJAqwiox', 4565248), ('38T1cGNmdwAEgRuqcT2z1b6WZCAuXFUThq', 1950000), ('138SStocH2keHKJmzfCfjSZeUfNDD637Dr', 1759020), ('3KSkMhPhgpPCXUdWgmFiKRfMMxFi5JEULy', 3500000), ('344qnjZ6xycycAGoEqDPN3ARJfro8VbsqK', 1735875), ('3DnRZNCpemLVzxgK73KBknpKo2TeUBxjxe', 7098549), ('18KKqUmTjeYuPjh5MVYBArXtyXAF9sQdKc', 2249240), ('1Q51Gq4oVws8ko9QXPX13Jki8wLbMHdeRm', 2314499), ('34NeMzRxh9JRexhpbWuCpGREC9rRVEeom4', 1000000), ('12yNi8bW2ZpVQGTT6TYujNzL9iSWrq7sVQ', 4166100), ('358aX7rYu5sxZpXwdEWrJpiW63XnqUkase', 2321000), ('33t6MHRALRqv2cNEBNSnfQWhsieWZLnbMd', 2300000), ('36QmEUkFDPiVwuZeBdm3kGKyjzAQdCjUzy', 3400000), ('3D2C5QEhZTnx7AHMM7GRjCtfeoSTC6Neh8', 1159213)]"
30,cc4cc74435e32adcb5431be36f2becc81fbd14b831912094043ac10b33fe1cf9,2020-10-29 12:54:54,"[('bc1qhcdvrypau822uxlhlzmg6axz8z4t40y8azus4k', 74731490)]","[('33t6MHRALRqv2cNEBNSnfQWhsieWZLnbMd', 3107000), ('bc1qq63er3d95dm30prc7uaja5vu5rvf7nywzlkxag', 71587260)]"
31,0057bd900193acdfe6aef3dac55aa206156053b88dd4b6bc5a06f7e088d4c4a6,2020-10-26 23:48:38,"[('35bJ5wUhK1hHkmPA2Em4kCvkEm6xmdg2Cz', 762440), ('3Gxu7KCTFZri2Qyj8ZFYvVC3ZQsvoQ8PFA', 745108), ('3QrmJ32oERd3oEE5JE37NVyMRq4x4CmQS3', 783498), ('3CiuBCwZY4aZW9pQhYYxMZjxhtwJPAbaUq', 732112), ('374hcWjdi7LqZogk79HBiQULuSjfG4jGrn', 732191), ('3PAAymjX6VTi4bCGM5GiYesjRdibTmCGyB', 922537), ('34tB3u2xKu3acutfRUSNvhypSiZHRkLPgC', 845727), ('3EaDcpyX7NK6eVnEkmYe2UCrPxauV5rkVy', 755867), ('3EJNGD5nB4k5PbJRAk7rvv9opb5CmN683c', 900000), ('3EosM7DsBF2e8yicEr4MhPUKxCgw1GjxUk', 770374), ('3NUmAb6ZGxWKerfa9aYHFogpqFV9dNm72B', 772429), ('3Fdaz3pURTqf5YKMpHQgEnYFGr6wjT97SZ', 798189), ('33b33NoQ89NywNb3pGDCQQ2WFXUBNWJBm4', 29995000), ('336giBe2xom465qYmpjcgqKQ86r6Cu3m58', 800000), ('3Hd6LqkxCHKfXYxYDtL9jRmpuq17JoMBBQ', 783870), ('3DW37DQCp7RkP6Zpf9pkWEhKb5zr1i1pQC', 730959), ('35rVRV3QncRVkQSG9yBcU6FQopKipc2aun', 761040), ('33NP7QScWvd7C9kxyDKT3MGKjprn6Mu699', 730000)]","[('19jnZqzTMMV7HDNTLGhcSTfQXc8rHEEfQi', 6917772), ('148CmvA4u5sE2ESsy7pxYTJ9nGCA4LnntX', 954128), ('1K2L4UvMAJudvBhSTAMxyJrDV8ExPaHnj', 2054128), ('36mdVMVf7D5sUR8C1DuqqGTtVbenbpxsWL', 1230000), ('3Pitf1dTiCjxD4Z1FbbsjZs9cV1w4J69N4', 3444128), ('1NuyXsbRH9qWo5F1e4hZryHR8QHJhc9Dor', 1713128), ('1GQRmQp35Whdw3nNCBnSdgiLmQLTL3h4qy', 6470000), ('13wpUwiGQFW1Y4XdkQEaQgWE46i7BM7VxB', 1353123), ('33t6MHRALRqv2cNEBNSnfQWhsieWZLnbMd', 2344000), ('1PdndaJ22MnEVbnPYP3pmc4Kk9z65YNqDq', 3270411), ('1PuKk8zD56K8QcHhLzMyS3J8UVk13fEDKW', 2254128), ('19G4ueJZShA3NYDSf2e9FGq8jVGrFw26je', 126582), ('1KzBTyFmwjo9vsf18NY8HUcfXw24FSS37e', 2200000), ('1BbuVMFKiZBcH4qqD8BRniZhqMapJ59sKA', 4935950), ('36iQgyRwdKmj54xSFVjcCeYyZZYjwzqABx', 2704128), ('3BCRpp5w3iXXYEqZZQy1zWwoYGMWSzATj6', 1082189)]"
32,b788aeb5d2ac50d7a2619ba83e53fd140faa9adf046057dfe65d2fd38cc0a8fd,2020-11-18 17:34:34,"[('bc1qvc9yq3uk5qdgmmge6rtefals2xtdznlvf6jpe6', 22031547)]","[('bc1qcnavjzdexg25ry008l9tvpk89hxsmr9ur4c2qr', 20915233), ('33t6MHRALRqv2cNEBNSnfQWhsieWZLnbMd', 1102000)]"
33,7a139f5384134ceff3de88529beb9fde84fa4f3187a134116ad91a05325da2a9,2020-11-15 15:06:12,"[('3HxtgLKh8Wz5ZArqBLXAhWC4Ho3JeCwmvx', 29995000), ('32N2cNMxcjfrMPrAphXg3gVojh96kwRThc', 48139), ('34dfimkxh5pk52HgAw2FEy9rhiXGzmcnXP', 37591), ('3DDJjH5pYMSkPwFvvnKM6FWP1nw7UUDFWj', 40262), ('34YyymWdCbYUEM2RhwB7WSfWef7ZgaML4j', 48524), ('3MfjKKLFhbTJi7vu5yCqxmXT91xxEfXzVC', 49698), ('39JzMqTT79sgmN9fQwT3jDv5rngFq4WkAD', 49754), ('3GuJy87CxfAH7RQgPuNdHaNBpTheRobLxz', 44973), ('37YCow3yfs5P1iqnMUNSYxkg4wfwbwjDYN', 39854), ('3LWmYtkATKZhr1kJAQdSS353DV3FaocvLH', 40000), ('3H1ooCkE9yL8JsmiewiYcTwJkFJTvxsqDm', 50219), ('3CbiXSAePEUCKWcgmrTh4stTCya622HaqS', 40565), ('31svzofAVino92nZ4suBfqrk7qQLYPpxKj', 34200), ('37MtXpqsPbra4ciA8jDntwjz8MiofnEunh', 49891)]","[('3Q48rR1aR4Sz6VN5GL33qn27niHMMXgGTR', 370000), ('32FYY8JUVKXmTNzthV4ZDLsxUmZivCgC3H', 1748480), ('1B5nLLCFh6fS5DQCLUmEXBwcRTauJ2QFN1', 2900000), ('33t6MHRALRqv2cNEBNSnfQWhsieWZLnbMd', 4400000), ('1N7djPeqS1SusMVW6WiM9WUwR7yYF1VVyz', 9980560), ('1L9GjYXnT8FJUuiBGzBqSRrVfZFbLrqjJU', 805000), ('39uxTYGLffs4JC6HZDwS4raajizNeMZc6r', 492480), ('12LAyotbDhZyyDq7EPH3BWGwMSpi4Jme3k', 8443506), ('1N2DFCrtLJSjsN1ubEqV9vzisLU9xGsjXa', 392480), ('37bVPo2TTMeVPvasWQMAnHTdybbJXVEYT7', 1003664)]"
34,965f55e83c4343b784af1cb5df603d3067a89520f41fc970f4fbf60549330bc7,2020-11-12 17:32:59,"[('34KmSeLJrm8kYWT2ks6pR1jyW8cBWPAYy7', 22411900)]","[('bc1qfc4ga3xxsayjkpsvqnjjp0rtklpvgnjq4lh8v5', 16310910), ('33t6MHRALRqv2cNEBNSnfQWhsieWZLnbMd', 6100000)]"
35,e5a47b7e24197a7d0710ff7d0e31d526b1372739f02ff7c9da98568787d18e7e,2020-11-09 16:19:56,"[('1744z65bLMSVpJt9a41idyyprEG9HxViaB', 110000), ('1EQFxyzpYwbxVv3UC8mWJqCAK7aPAKSWr9', 70415), ('18Fg47wo2oMo5AeFYdwDvjSFhPEB6tz4A4', 6210000), ('17QrjREL1EW1SNUjnGyMrhLGU8RnXtvhit', 671498), ('1EnABfMCDowpRBujwq5HKvF9SrvdM4Aysb', 1170000)]","[('33t6MHRALRqv2cNEBNSnfQWhsieWZLnbMd', 8050000)]"
36,b04f0bd3ab2c2d9e63a0b978df8fd565cb11eb787cac1d95f9bb1548808594d1,2020-11-06 09:59:01,"[('14hDEhJ9tuVNbkr2JwbzXjBLN7SR3CkMnq', 8080940)]","[('1Bh4qBR4hx5tihxuTTHn5HNs8tNDwXCG5U', 2920146), ('33t6MHRALRqv2cNEBNSnfQWhsieWZLnbMd', 5100000)]"
37,c539684750ed39f6ae2f155b550bba23db29029a984d691a66e5f624ad492e35,2020-11-02 14:47:42,"[('3HS49piBa2kF6dWAwrhyhqshMjxZ3jbQQw', 910200), ('3Jo7i8yQWfQZoEpqUfxK5PFBoUBohwA1WG', 1000002), ('3Jo7i8yQWfQZoEpqUfxK5PFBoUBohwA1WG', 1000350), ('3HUoJU6o6h2eMSPfE31GvmpBpf487TiKdm', 637969), ('3ASjEZnfF5BtoMqFUgJBULcYekRPcHuV5Q', 893599), ('3FnYKbCFrKt1bGeic3qrMpAgdV3UMUaGHu', 1000093), ('3HQGre52CEdwVX78rrpBxYRpyi3ZzNHBqW', 869580), ('3CNQHdMc92Auqr1rUtpYc9aE6L9ZfJDnJa', 772165), ('39kfKXt6rW6XHQnLJhKyvUzCRkprffeZSr', 924608), ('3D1WtUdh8ADj7cGYe3p7ZwQx2TTaYsaon4', 967600), ('33Vb7bQr5JTogw2FShgz6bcjb5ZYV1Cbgi', 884000), ('3HUV4V3ij2UHjdZHPwxq6QEgQq2TJc2fcG', 915217), ('3C3EBx9qNJ7skJiMFq27WqD199sYK57eyv', 856000), ('32ux1rmkjvt3SSGJcR8iXaHcFKfPEVeb8w', 30000000), ('3LXEtjEazptRCExeip531HrzLenqrt9r1a', 919000), ('3PHfAsLF5tV542CFJ1XkCgPHE3pmurYzB5', 629589), ('3KeRBa9YJqd7UgfYfxysQcNakMo5UaPgKD', 647966), ('3AdKrxqQormX83MtAeb1xsJgiNP9VV498A', 765506), ('34DaU8njjRmoeJtLxHHdrmTFakAiuSVwFF', 805441), ('3MyqqAXnU9WkhawqaXJY6XBNbZNuGgSMkP', 700148)]","[('32iWrypxG94acEpF1FgEdFcTahMgBVgCsH', 500445), ('1BT2Dxeg3TQcgxWW9XTcYFJdzgTKWcWtk8', 249240), ('15Rwgko19t2cgRUYDCkK7uc87DVLbVTNKb', 2218438), ('3GWSHt27uj7o5zxWmqG6mod2sqMe8oPncL', 3282361), ('3PDRnM2N2SK4nBdXN4Q79V9JP4ZJAqwiox', 4565248), ('38T1cGNmdwAEgRuqcT2z1b6WZCAuXFUThq', 1950000), ('138SStocH2keHKJmzfCfjSZeUfNDD637Dr', 1759020), ('3KSkMhPhgpPCXUdWgmFiKRfMMxFi5JEULy', 3500000), ('344qnjZ6xycycAGoEqDPN3ARJfro8VbsqK', 1735875), ('3DnRZNCpemLVzxgK73KBknpKo2TeUBxjxe', 7098549), ('18KKqUmTjeYuPjh5MVYBArXtyXAF9sQdKc', 2249240), ('1Q51Gq4oVws8ko9QXPX13Jki8wLbMHdeRm', 2314499), ('34NeMzRxh9JRexhpbWuCpGREC9rRVEeom4', 1000000), ('12yNi8bW2ZpVQGTT6TYujNzL9iSWrq7sVQ', 4166100), ('358aX7rYu5sxZpXwdEWrJpiW63XnqUkase', 2321000), ('33t6MHRALRqv2cNEBNSnfQWhsieWZLnbMd', 2300000), ('36QmEUkFDPiVwuZeBdm3kGKyjzAQdCjUzy', 3400000), ('3D2C5QEhZTnx7AHMM7GRjCtfeoSTC6Neh8', 1159213)]"
38,cc4cc74435e32adcb5431be36f2becc81fbd14b831912094043ac10b33fe1cf9,2020-10-29 12:54:54,"[('bc1qhcdvrypau822uxlhlzmg6axz8z4t40y8azus4k', 74731490)]","[('33t6MHRALRqv2cNEBNSnfQWhsieWZLnbMd', 3107000), ('bc1qq63er3d95dm30prc7uaja5vu5rvf7nywzlkxag', 71587260)]"
39,0057bd900193acdfe6aef3dac55aa206156053b88dd4b6bc5a06f7e088d4c4a6,2020-10-26 23:48:38,"[('35bJ5wUhK1hHkmPA2Em4kCvkEm6xmdg2Cz', 762440), ('3Gxu7KCTFZri2Qyj8ZFYvVC3ZQsvoQ8PFA', 745108), ('3QrmJ32oERd3oEE5JE37NVyMRq4x4CmQS3', 783498), ('3CiuBCwZY4aZW9pQhYYxMZjxhtwJPAbaUq', 732112), ('374hcWjdi7LqZogk79HBiQULuSjfG4jGrn', 732191), ('3PAAymjX6VTi4bCGM5GiYesjRdibTmCGyB', 922537), ('34tB3u2xKu3acutfRUSNvhypSiZHRkLPgC', 845727), ('3EaDcpyX7NK6eVnEkmYe2UCrPxauV5rkVy', 755867), ('3EJNGD5nB4k5PbJRAk7rvv9opb5CmN683c', 900000), ('3EosM7DsBF2e8yicEr4MhPUKxCgw1GjxUk', 770374), ('3NUmAb6ZGxWKerfa9aYHFogpqFV9dNm72B', 772429), ('3Fdaz3pURTqf5YKMpHQgEnYFGr6wjT97SZ', 798189), ('33b33NoQ89NywNb3pGDCQQ2WFXUBNWJBm4', 29995000), ('336giBe2xom465qYmpjcgqKQ86r6Cu3m58', 800000), ('3Hd6LqkxCHKfXYxYDtL9jRmpuq17JoMBBQ', 783870), ('3DW37DQCp7RkP6Zpf9pkWEhKb5zr1i1pQC', 730959), ('35rVRV3QncRVkQSG9yBcU6FQopKipc2aun', 761040), ('33NP7QScWvd7C9kxyDKT3MGKjprn6Mu699', 730000)]","[('19jnZqzTMMV7HDNTLGhcSTfQXc8rHEEfQi', 6917772), ('148CmvA4u5sE2ESsy7pxYTJ9nGCA4LnntX', 954128), ('1K2L4UvMAJudvBhSTAMxyJrDV8ExPaHnj', 2054128), ('36mdVMVf7D5sUR8C1DuqqGTtVbenbpxsWL', 1230000), ('3Pitf1dTiCjxD4Z1FbbsjZs9cV1w4J69N4', 3444128), ('1NuyXsbRH9qWo5F1e4hZryHR8QHJhc9Dor', 1713128), ('1GQRmQp35Whdw3nNCBnSdgiLmQLTL3h4qy', 6470000), ('13wpUwiGQFW1Y4XdkQEaQgWE46i7BM7VxB', 1353123), ('33t6MHRALRqv2cNEBNSnfQWhsieWZLnbMd', 2344000), ('1PdndaJ22MnEVbnPYP3pmc4Kk9z65YNqDq', 3270411), ('1PuKk8zD56K8QcHhLzMyS3J8UVk13fEDKW', 2254128), ('19G4ueJZShA3NYDSf2e9FGq8jVGrFw26je', 126582), ('1KzBTyFmwjo9vsf18NY8HUcfXw24FSS37e', 2200000), ('1BbuVMFKiZBcH4qqD8BRniZhqMapJ59sKA', 4935950), ('36iQgyRwdKmj54xSFVjcCeYyZZYjwzqABx', 2704128), ('3BCRpp5w3iXXYEqZZQy1zWwoYGMWSzATj6', 1082189)]"
